Date,Article Class,Article Titles,List of Article Author Names,First Author,Last Author
2019-Oct,Review Article,Current peri-operative imaging concepts surrounding shoulder arthroplasty,"Travis J. Dekker,J. R. Steele,G. E. Garrigues",Travis J. Dekker,G. E. Garrigues
2019-Oct,Review Article,The diagnostic accuracy of imaging modalities to detect pseudarthrosis after spinal fusion—a systematic review and meta-analysis of the literature,"Marloes J. M. Peters,Carolien H. G. Bastiaenen,Paul C. Willems",Marloes J. M. Peters,Paul C. Willems
2019-Oct,Review Article,Thinking beyond pannus: a review of retro-odontoid pseudotumor due to rheumatoid and non-rheumatoid etiologies,"Junzi Shi,Joerg Ermann,Jacob C. Mandell",Junzi Shi,Jacob C. Mandell
2019-Oct,Review Article,Review article: the differential diagnosis of bone marrow edema on wrist MRI,"Wan,Yin Lim,Asif Saifuddin",Wan,Asif Saifuddin
2019-Oct,Review Article,"MR imaging of the postsurgical cubital tunnel: an imaging review of the cubital tunnel, cubital tunnel syndrome, and associated surgical techniques","Nicholas G. Rhodes,Benjamin M. Howe,Steven L. Moran",Nicholas G. Rhodes,Steven L. Moran
2019-Oct,Scientific Article,Small soft tissue masses indeterminate at imaging: histological diagnoses at a tertiary orthopedic oncology clinic,"Kevin Pham,Nisreen S. Ezuddin,Ty K. Subhawong",Kevin Pham,Ty K. Subhawong
2019-Oct,Scientific Article,Detection of aseptic loosening in total knee replacements: a systematic review and meta-analysis,"Lara Barnsley,Les Barnsley",Lara Barnsley,Les Barnsley
2019-Oct,Scientific Article,Characterization of intramuscular calf vein thrombosis on routine knee MRI,"David P. Duncan,Michael Taddonio,Brady K. Huang",David P. Duncan,Brady K. Huang
2019-Oct,Scientific Article,Influence of the ankle position and X-ray beam angulation on the projection of the posterior facet of the subtalar joint,"Amy L. Lenz,Nicola Krähenbühl,Alexej Barg",Amy L. Lenz,Alexej Barg
2019-Oct,Scientific Article,Normal Pacinian corpuscles in the hand: radiology–pathology correlation in a cadaver study,"Nicholas G. Rhodes,Naveen S. Murthy,David A. Rubin",Nicholas G. Rhodes,David A. Rubin
2019-Oct,Scientific Article,Efficiency of knee ultrasound for diagnosing anterior cruciate ligament and posterior cruciate ligament injuries: a systematic review and meta-analysis,"Sun Hwa Lee,Seong Jong Yun",Sun Hwa Lee,Seong Jong Yun
2019-Oct,Technical Report,Coracoid stress fracture in an elite fast bowler: description of a technique for CT-guided percutaneous screw fixation of coracoid fractures,"Graeme Thompson,Andrew Van Den Heever",Graeme Thompson,Andrew Van Den Heever
2019-Oct,Technical Report,Dual steristrip technique: a novel use of steristrips to reduce operator radiation dose during CT-guided intervention,"E. Mc,Loughlin,A. Iqbal,Rajesh Botchu",E. Mc,Rajesh Botchu
2019-Oct,Test Yourself: Question,Professional soccer player with an in-game ankle injury,"A. Iqbal,E. Mc,Loughlin,S. L. James",A. Iqbal,S. L. James
2019-Oct,Case Report,Osteoblastoma of the clavicle at the site of a previous fracture—first case report and review of the literature,"Adriana C. Moreira,David I. Suster,Connie Y. Chang",Adriana C. Moreira,Connie Y. Chang
2019-Oct,Case Report,A rare case of type 2 entrapment of the median nerve after posterior elbow dislocation with MRI and ultrasound correlation,"Patrick K. O’Callaghan,Kyle Freeman,Robert F. Murphy",Patrick K. O’Callaghan,Robert F. Murphy
2019-Oct,Case Report,Myoepithelial carcinoma of tibia mimic giant cell tumor: a case report with emphasis on MR features,"Chien-Hung Lin,Kun-Yu Wu,Tsyh-Jyi Hsieh",Chien-Hung Lin,Tsyh-Jyi Hsieh
2019-Oct,Case Report,Upper extremity myxofibrosarcoma mimicking an erosive inflammatory arthritis: a case report,"Ceylan Colak,Scott E. Kilpatrick,Carl S. Winalski",Ceylan Colak,Carl S. Winalski
2019-Oct,Case Report,Congenital bilateral absence of the semimembranosus muscles,A. Ross Sussmann,A. Ross Sussmann,A. Ross Sussmann
2019-Oct,Test Yourself: Answer,Professional player with an in-game ankle injury,"A. Iqbal,E. Mc,Loughlin,S. L. James",A. Iqbal,S. L. James
2019-Oct,Browser's Notes,Browser’s notes,,,
