Date,Article Class,Article Titles,List of Article Author Names,First Author,Last Author
2019-Jun,Perspective,"“Should we measure?” and more importantly, “should we report?” Perspective from an adult orthopaedic deformity surgeon",Francis H. Shen,Francis H. Shen,Francis H. Shen
2019-Jun,Review Article,MR and ultrasound of the hands and wrists in rheumatoid arthritis. Part II. Added clinical value,David A. Rubin,David A. Rubin,David A. Rubin
2019-Jun,Review Article,Surgical management of patellofemoral instability. I. Imaging considerations,"Neeraj Purohit,Nicholas Hancock,Asif Saifuddin",Neeraj Purohit,Asif Saifuddin
2019-Jun,Scientific Article,Five-year development of lumbar disc degeneration—a prospective study,"Elina Iordanova Schistad,Siri Bjorland,Ansgar Espeland",Elina Iordanova Schistad,Ansgar Espeland
2019-Jun,Scientific Article,Radiofrequency ablation in the treatment of atypical cartilaginous tumours in the long bones: lessons learned from our experience,"Edwin F. Dierselhuis,Jelle Overbosch,Paul C. Jutte",Edwin F. Dierselhuis,Paul C. Jutte
2019-Jun,Scientific Article,Iliopsoas snapping hip: improving the diagnostic value of magnetic resonance imaging with a novel parameter,"Wajeeh Bakhsh,Sean Childs,Brian Giordano",Wajeeh Bakhsh,Brian Giordano
2019-Jun,Scientific Article,"CT, conventional, and functional MRI features of skull lymphoma: a series of eight cases in a single institution","Zhen Xing,Hongjie Huang,Dairong Cao",Zhen Xing,Dairong Cao
2019-Jun,Scientific Article,Multilevel glenoid morphology and retroversion assessment in Walch B2 and B3 types,"Mohammad Samim,Mandeep Virk,Soterios Gyftopoulos",Mohammad Samim,Soterios Gyftopoulos
2019-Jun,Scientific Article,MRI appearance of the anomalous volar radiotriquetral ligament in true Madelung deformity,"Theodore J. Hanson,Naveen S. Murthy,Mark S. Collins",Theodore J. Hanson,Mark S. Collins
2019-Jun,Scientific Article,Diabetics show accelerated progression of knee cartilage and meniscal lesions: data from the osteoarthritis initiative,"Jan Neumann,Julio B. Guimaraes,Thomas M. Link",Jan Neumann,Thomas M. Link
2019-Jun,Scientific Article,Patterns of cartilage degeneration in knees with medial tibiofemoral offset,"Palanan Siriwanarangsun,Karen C. Chen,Christine B. Chung",Palanan Siriwanarangsun,Christine B. Chung
2019-Jun,Scientific Article,Femoral head subchondral impaction on CT: what does it mean in patients with acetabular fracture?,"Pierre-Alexandre Poletti,Mehmet Sahin,Alexandra Platon",Pierre-Alexandre Poletti,Alexandra Platon
2019-Jun,Scientific Article,Single-shot CT after wrist trauma: impact on detection accuracy and treatment of fractures,"Monique Brink,Arjan Steenbakkers,Mathias Prokop",Monique Brink,Mathias Prokop
2019-Jun,Technical Report,"Ultrasound-guided percutaneous compartment release: a novel technique, proof of concept, and clinical relevance","Joseph Davies,Valerie Fallon,Jimmy Kyaw Tun",Joseph Davies,Jimmy Kyaw Tun
2019-Jun,Case Report,"Intra-articular fibroma-like perivascular epithelioid tumor (PEComa) mimicking tenosynovial giant cell tumor, diffuse type","Joel P. Harvey,David I. Suster,Miriam A. Bredella",Joel P. Harvey,Miriam A. Bredella
2019-Jun,Case Report,Radial artery aneurysm secondary to dynamic entrapment by extensor pollicis longus tendon: a case of snapping thumb,"Hatim Alabsi,Thomas Goetz,Darra T. Murphy",Hatim Alabsi,Darra T. Murphy
2019-Jun,Case Report,Scurvy: a rare case in an adult,"Rajat Joshi,Cristy N. Gustas-French,Donald Flemming",Rajat Joshi,Donald Flemming
2019-Jun,Case Report,Primary osseous sacral neuroblastoma in an adult,"Muhammad Naeem,Horacio Maluf,Jack W. Jennings",Muhammad Naeem,Jack W. Jennings
2019-Jun,Case Report,Recurrence of carpal tunnel syndrome in isolated non-syndromic macrodactyly: DTI examination of a giant median nerve,"Ignazio G. Vetrano,Luca Maria Sconfienza,Vittoria Nazzi",Ignazio G. Vetrano,Vittoria Nazzi
2019-Jun,Case Report,Scurvy: an unusual complication of paediatric cancer treatment,"Iain Irvine,Triona Walshe,Roisin Hayes",Iain Irvine,Roisin Hayes
2019-Jun,Browser's Notes,Browser’s notes,,,
