Date,Article Class,Article Titles,List of Article Author Names,First Author,Last Author
2019-Nov,Review Article,Pearls and pitfalls of fluoroscopic-guided foot and ankle injections: what the radiologist needs to know,"Barry G. Hansford,Megan K. Mills,Corrie M. Yablon",Barry G. Hansford,Corrie M. Yablon
2019-Nov,Review Article,Sonographic landmarks in hamstring muscles,"Ramon Balius,Carles Pedret,Luis Cerezal",Ramon Balius,Luis Cerezal
2019-Nov,Review Article,Magnetic resonance imaging of the quadriceps tendon autograft in anterior cruciate ligament reconstruction,"Christopher P. Emerson,Jessica M. Bernstein,Jean Jose",Christopher P. Emerson,Jean Jose
2019-Nov,Scientific Article,Treatment-related alterations of imaging findings in osteoid osteoma after percutaneous radiofrequency ablation,"Gonca ErbaşHalit Nahit Şendur,Erhan Turgut Ilgit",Gonca ErbaşHalit Nahit Şendur,Erhan Turgut Ilgit
2019-Nov,Scientific Article,Diffusion tensor imaging of diabetic amyotrophy,"Rocco Hlis,Feng Poh,Avneesh Chhabra",Rocco Hlis,Avneesh Chhabra
2019-Nov,Scientific Article,Diagnostic accuracy of imaging modalities in the detection of clinically diagnosed de Quervain’s syndrome: a systematic review,"Brodwen Mc,Bain,Ebonie Rio,Sean Docking",Brodwen Mc,Sean Docking
2019-Nov,Scientific Article,Diagnostic accuracy of MRI for detection of tears and instability of proximal long head of biceps tendon: an evaluation of 100 shoulders compared with arthroscopy,"Eduardo Baptista,Eduardo A. Malavolta,Nestor de Barros",Eduardo Baptista,Nestor de Barros
2019-Nov,Scientific Article,18F-FDG PET-CT versus MRI for detection of skeletal metastasis in Ewing sarcoma,"S. E. Bosma,D. Vriens,J. L. Bloem",S. E. Bosma,J. L. Bloem
2019-Nov,Scientific Article,Increased signal in the proximal patellar tendon: normal or pathologic?,"Elizabeth S. Levin,Benjamin Plotkin,Leanne L. Seeger",Elizabeth S. Levin,Leanne L. Seeger
2019-Nov,Scientific Article,The lateral patellar retinaculum defect: anatomical study using ultrasound,"Antoine Moraux,Stefano Bianchi,Thomas Le Corroller",Antoine Moraux,Thomas Le Corroller
2019-Nov,Scientific Article,Full-spine radiographs: what others are reporting—a survey of Society of Skeletal Radiology members,"Takashi Takahashi,David Polly,Christopher T. Martin",Takashi Takahashi,Christopher T. Martin
2019-Nov,Scientific Article,Evaluation of giant cell tumors by diffusion weighted imaging–fractional ADC analysis,"Oganes Ashikyan,M. Chalian,A. Chhabra",Oganes Ashikyan,A. Chhabra
2019-Nov,Scientific Article,CT radiation dose reduction in patients with total hip arthroplasties using model-based iterative reconstruction and orthopaedic metal artefact reduction,"Ruud H. H. Wellenberg,Jochen A. C. van Osch,Martijn F. Boomsma",Ruud H. H. Wellenberg,Martijn F. Boomsma
2019-Nov,Scientific Article,Validity of the alpha angle measurements on plain radiographs in the evaluation of cam-type femoroacetabular impingement in patients with slipped capital femoral epiphysis,"Hanifi Ucpunar,Muhammed Mert,Hakan Sofu",Hanifi Ucpunar,Hakan Sofu
2019-Nov,Scientific Article,Bony changes of the tibia secondary to pes anserine bursitis mimicking neoplasm,"Ceylan Colak,Hakan Ilaslan,Murali Sundaram",Ceylan Colak,Murali Sundaram
2019-Nov,Technical Report,Ultrasound-guided percutaneous release of the carpal tunnel: comparison of the learning curves of a senior versus a junior operator. A cadaveric study,"Chloé Dekimpe,Olivier Andreani,Nicolas Amoretti",Chloé Dekimpe,Nicolas Amoretti
2019-Nov,Test Yourself: Question,Test yourself: question and answer question: painful knee swelling,"Akarshan Monga,Andrew Rosenberg,Ty K. Subhawong",Akarshan Monga,Ty K. Subhawong
2019-Nov,Case Report,"Epithelioid schwannoma: imaging findings on radiographs, MRI, and ultrasound","Hillary W. Garner,Benjamin K. Wilke,Joseph M. Bestic",Hillary W. Garner,Joseph M. Bestic
2019-Nov,Case Report,Lateral foot pain due to os vesalianum pedis in a young football player; a case report and review of the current literature,"Faruk Aykanat,Cornelis Vincenten,Muzaffer Sindel",Faruk Aykanat,Muzaffer Sindel
2019-Nov,Test Yourself: Answer,Test yourself answer: painful knee swelling,"Akarshan Monga,Andrew Rosenberg,Ty K. Subhawong",Akarshan Monga,Ty K. Subhawong
2019-Nov,Browser’s notes,Browser’s notes,,,
