Date,Article Class,Article Titles,List of Article Author Names,First Author,Last Author
2018-Mar,Skeletal Radiology: The Year in Review,Skeletal Radiology: The Year in Review 2017,"Daniel I. Rosenthal,Mark J. Kransdorf,Gunnar Astrom",Daniel I. Rosenthal,Gunnar Astrom
2018-Mar,Meeting Highlights,"Highlights of the 21th Annual Scientific Meeting of the Australasian Musculoskeletal Imaging Group (AMSIG) 2017, Melbourne, Australia","Timothy Dickson,David Wang,George Koulouris",Timothy Dickson,George Koulouris
2018-Mar,Review Article,Diffusion weighted imaging demystified: the technique and potential clinical applications for soft tissue imaging,"Shivani Ahlawat,Laura M. Fayad",Shivani Ahlawat,Laura M. Fayad
2018-Mar,Scientific Article,Hyperintense signal alteration in the suprapatellar fat pad on MRI is associated with degeneration of the patellofemoral joint over 48 months: data from the Osteoarthritis Initiative,"Benedikt J. Schwaiger,John Mbapte Wamba,Thomas M. Link",Benedikt J. Schwaiger,Thomas M. Link
2018-Mar,Scientific Article,Magnetic resonance imaging-based morphological and alignment assessment of the patellofemoral joint and its relationship to proximal patellar tendinopathy,"Michel D. Crema,Larissa G. Cortinas,Abdalla Y. Skaf",Michel D. Crema,Abdalla Y. Skaf
2018-Mar,Scientific Article,Comparison of qualitative and quantitative CT and MRI parameters for monitoring of longitudinal spine involvement in patients with multiple myeloma,"M. Horger,J. Fritz,Christopher Kloth",M. Horger,Christopher Kloth
2018-Mar,Scientific Article,Can FDG-PET/CT replace blind bone marrow biopsy of the posterior iliac crest in Ewing sarcoma?,"Ömer Kasalak,Andor W. J. M. Glaudemans,Thomas C. Kwee",Ömer Kasalak,Thomas C. Kwee
2018-Mar,Scientific Article,Early detection of metastases using whole-body MRI for initial staging and routine follow-up of myxoid liposarcoma,"Natalia Gorelik,Santhosh Mauvva Venkatesh Reddy,Thomas I. Powell",Natalia Gorelik,Thomas I. Powell
2018-Mar,Scientific Article,Academic musculoskeletal radiology: influences for gender disparity,"Sadia R. Qamar,Kiran Khurshid,Faisal Khosa",Sadia R. Qamar,Faisal Khosa
2018-Mar,Test Yourself: Question,A 4-year-old with a non-tender dorsal phalangeal lump,"Leon Mieczyslaw Sergot,Savvas Andronikou,Simon Thomas",Leon Mieczyslaw Sergot,Simon Thomas
2018-Mar,Case Report,Primary synovial chondromatosis of the subtalar joint: case report and review of the literature,"J. Derek Stensby,Michael G. Fox,Asal Rahimi",J. Derek Stensby,Asal Rahimi
2018-Mar,Case Report,An uncommon variant of the Essex-Lopresti injury,"Mohamed Ali Kedous,Ahmed Msakni,Mondher Mbarek",Mohamed Ali Kedous,Mondher Mbarek
2018-Mar,Case Report,Multifocal metastatic chordoma to the soft tissues of the fingertips: a case report including sonographic features and a review of the literature,"Zachary Smith,Nicole Girard,Barry G. Hansford",Zachary Smith,Barry G. Hansford
2018-Mar,Case Report,Muscular sarcoidosis involving the chest and abdominal walls: case report with MR imaging,"Seunghyun Lee,In Sook Lee,Kyung-Un Choi",Seunghyun Lee,Kyung-Un Choi
2018-Mar,Case Report,Stener-like lesion of the lateral collateral ligament of the first metatarsophalangeal joint,"S. Braspenningx,W. Rezaie,P. Simons",S. Braspenningx,P. Simons
2018-Mar,Case Report,MRI findings in bucket-handle tears of the triangular fibrocartilage complex,"Jean Jose,Azael Arizpe,David Chen",Jean Jose,David Chen
2018-Mar,Case Report,Hyaline fibromatosis syndrome (juvenile hyaline fibromatosis): whole-body MR findings in two siblings with different subcutaneous nodules distribution,"Davide Castiglione,Maria Chiara Terranova,Sergio Salerno",Davide Castiglione,Sergio Salerno
2018-Mar,Test Yourself: Answer,A 4-year-old with a non-tender dorsal phalangeal lump: diagnosis and discussion,"Leon Mieczyslaw Sergot,Savvas Andronikou,Simon Thomas",Leon Mieczyslaw Sergot,Simon Thomas
2018-Mar,Browser's Notes,Browser’s Notes,,,
2018-Mar,Abstracts,"Annual Meeting Abstracts of the Society of Skeletal Radiology (SSR) 2018, Austin, Texas, USA",,,
