Date,Article Class,Article Titles,List of Article Author Names,First Author,Last Author
2022-Mar,Review Article,Periarticular calcifications,"Y. Y. Yan,Y. N. Bin Dous,M. A. Sheikh",Y. Y. Yan,M. A. Sheikh
2022-Mar,Review Article,"Update of pediatric soft tissue tumors with review of conventional MRI appearance—part 1: tumor-like lesions, adipocytic tumors, fibroblastic and myofibroblastic tumors, and perivascular tumors","Jack Porrino,Khalid Al-Dasuqi,Ezekiel Maloney",Jack Porrino,Ezekiel Maloney
2022-Mar,Review Article,Imaging the intermuscular septum in the context of ulnar neuropathy,"Yoav Morag,Miriana Popadich,Lynda C. Yang",Yoav Morag,Lynda C. Yang
2022-Mar,Review Article,Sarcopenia in rheumatic disorders: what the radiologist and rheumatologist should know,"Wilfred Manzano,Leon Lenchik,Robert D. Boutin",Wilfred Manzano,Robert D. Boutin
2022-Mar,Scientific Article,The accuracy of MRI for the diagnosis of ramp lesions,"M. Laurens,E. Cavaignac,M. Faruch",M. Laurens,M. Faruch
2022-Mar,Scientific Article,Patellar instability MRI measurements are associated with knee joint degeneration after reconstruction of the medial patellofemoral ligament,"Paula Giesler,Frederic A. Baumann,Pia M. Jungmann",Paula Giesler,Pia M. Jungmann
2022-Mar,Scientific Article,Clinical utility of accelerated MAVRIC-SL with robust-PCA compared to conventional MAVRIC-SL in evaluation of total hip arthroplasties,"Zoe Doyle,Daehyun Yoon,Kathryn J. Stevens",Zoe Doyle,Kathryn J. Stevens
2022-Mar,Scientific Article,MRI features of ERSA (exercise-related signal abnormality) lesions in professional soccer players,"James S. B. Kho,Rajesh Botchu,Steven L. James",James S. B. Kho,Steven L. James
2022-Mar,Scientific Article,The combination of radiofrequency ablation and vertebroplasty shows advantages over single vertebroplasty in treating vertebral neoplastic lesions,"Fuan Wang,Jianping Gu,Penghua LV",Fuan Wang,Penghua LV
2022-Mar,Scientific Article,Short tau inversion recovery (STIR) after intravenous contrast agent administration obscures bone marrow edema-like signal on forefoot MRI,"Tim Fischer,Yassir El Baz,Tobias Johannes Dietrich",Tim Fischer,Tobias Johannes Dietrich
2022-Mar,Scientific Article,The Vulcan salute sign: a non-sensitive but specific sign for Morton’s neuroma on radiographs,"Julien Galley,Reto Sutter,Christian W. A. Pfirrmann",Julien Galley,Christian W. A. Pfirrmann
2022-Mar,Scientific Article,CT evaluation for sarcopenia involving the psoas and paravertebral muscles in patients with total hip arthroplasty,"Mesut Ay,Huseyin Cetin,Nurdan Cay",Mesut Ay,Nurdan Cay
2022-Mar,Scientific Article,Anatomical variation at the sacroiliac joints in young adults: estimated prevalence by CT and concomitant diagnostics by MRI,"Rosa Marie Kiil,Anne Grethe Jurik,Anna Zejden",Rosa Marie Kiil,Anna Zejden
2022-Mar,Scientific Article,T2 MRI at 3T of cartilage and menisci in patients with hyperuricemia: initial findings,"Ningfan Hu,Jiangtao Zhu,Ligong Wang",Ningfan Hu,Ligong Wang
2022-Mar,Scientific Article,Prediction of quadriceps tendon–patellar bone autograft diameter in adolescents with 2-dimensional magnetic resonance imaging and anthropometric measures,"Alexia G. Gagliardi,David R. Howell,Jay C. Albright",Alexia G. Gagliardi,Jay C. Albright
2022-Mar,Scientific Article,Ischiofemoral space dimensions for ischiofemoral impingement: is it different in children?,"Barış Ten,Orhan Beger,Burhan Beger",Barış Ten,Burhan Beger
2022-Mar,Scientific Article,Ligaments of the scapho-trapezial-trapezoidal joint: MR anatomy in asymptomatic and symptomatic individuals,"Kai Higashigaito,Christian W. A. Pfirrmann,Andrea B. Rosskopf",Kai Higashigaito,Andrea B. Rosskopf
2022-Mar,Scientific Article,Could radio-morphological changes in humerus greater tuberosity be an early indicator of rotator cuff tendon injuries?,Nilüfer AylançŞenay Bengin Ertem,Nilüfer AylançŞenay Bengin Ertem,Nilüfer AylançŞenay Bengin Ertem
2022-Mar,Scientific Article,Diagnostic performance of conventional magnetic resonance imaging for detection and grading of subscapularis tendon tear according to Yoo and Rhee classification system in patients underwent arthroscopic rotator cuff surgery,"Tae Ran Ahn,Young Cheol Yoon,Ji Hyun Lee",Tae Ran Ahn,Ji Hyun Lee
2022-Mar,Test Yourself: Question,Subungual mass index finger,"Ning C. Mc,Kenzie,Brandon T. Larsen,Shelley S. Noland",Ning C. Mc,Shelley S. Noland
2022-Mar,Case Report,Epithelioid osteoblastoma with secondary aneurysmal bone cyst and FOS gene rearrangement,"Justin T. Snow,Mark A. Edgar,Hillary W. Garner",Justin T. Snow,Hillary W. Garner
2022-Mar,Case Report,Repetitive trauma-induced extra-nuchal-type fibroma,"Prem Ruben Jayaram,John Walsh,Hugue A. Ouellette",Prem Ruben Jayaram,Hugue A. Ouellette
2022-Mar,Test Yourself: Answer,Subungual mass index finger,"Ning C. Mc,Kenzie,Brandon T. Larsen,Shelley S. Noland",Ning C. Mc,Shelley S. Noland
2022-Mar,Correction,"Correction to: A case of a large solitary fibrous tumor in the thigh, displaying NAB2ex4-STAT6ex2 gene fusion","Bharat Rekhi,Prachi Bapat,Prakash Nayak",Bharat Rekhi,Prakash Nayak
