Date,Article Class,Article Titles,List of Article Author Names,First Author,Last Author
2021-Jul,Review Article,An update on imaging of Paget’s sarcoma,"William Tilden,Asif Saifuddin",William Tilden,Asif Saifuddin
2021-Jul,Review Article,Imaging of bone and soft tissue BCOR-rearranged sarcoma,"Udawattage Darshana Nadeeka Sirisena,Ramanan Rajakulasingam,Asif Saifuddin",Udawattage Darshana Nadeeka Sirisena,Asif Saifuddin
2021-Jul,Review Article,Pelvic bone tumor resection: post-operative imaging,"Shivani Ahlawat,Michael Mc,Coll,Laura M. Fayad",Shivani Ahlawat,Laura M. Fayad
2021-Jul,Scientific Article,The awareness of hindfoot malalignment on non-weight-bearing ankle MRI,"Syed Ehtasham Junaid,Anil Haldar,Asif Saifuddin",Syed Ehtasham Junaid,Asif Saifuddin
2021-Jul,Scientific Article,Does image-guided biopsy of discitis-osteomyelitis provide meaningful information to impact clinical management?,"Elisha Lim,William Walter,Mohammad Samim",Elisha Lim,Mohammad Samim
2021-Jul,Scientific Article,MRI wrist in early rheumatoid arthritis: reduction in inflammation assessed quantitatively during treatment period correlates best with clinical improvement,"Fan Xiao,James F. Griffith,Lai-Shan Tam",Fan Xiao,Lai-Shan Tam
2021-Jul,Scientific Article,Predicting outcomes in patients undergoing intra-articular corticosteroid hip injections,"Thanat Kanthawang,Austin Lee,Rina Patel",Thanat Kanthawang,Rina Patel
2021-Jul,Scientific Article,Vertebral disk morphology of the lumbar spine: a retrospective analysis of collagen-sensitive mapping using dual-energy computed tomography,"Friederike Schömig,Matthias Pumberger,Friedemann Göhler",Friederike Schömig,Friedemann Göhler
2021-Jul,Scientific Article,Practical ultrasonographic technique to precisely identify and differentiate tendons and ligaments of the elbow at the level of the humeral epicondyles: anatomical study,"Patrick Omoumi,Pedro Augusto Gondim Teixeira,Donald Resnick",Patrick Omoumi,Donald Resnick
2021-Jul,Scientific Article,Assessing the readability of patient-targeted online information on musculoskeletal radiology procedures,"Phuong T. Duong,Matthew P. Moy,Tony T. Wong",Phuong T. Duong,Tony T. Wong
2021-Jul,Scientific Article,"A comparison of femoral component rotation after total knee arthroplasty in Kanekasu radiographs, axial CT slices and 3D reconstructed images","Emma L. Robertson,Martin Hengherr,Dominic T. Mathis",Emma L. Robertson,Dominic T. Mathis
2021-Jul,Scientific Article,Prevalence of lateral patellofemoral maltracking and associated complications in patients with Osgood Schlatter disease,"Sarah I. Kamel,Riti M. Kanesa-Thasan,Vishal Desai",Sarah I. Kamel,Vishal Desai
2021-Jul,Scientific Article,The reliability of radiographic measures of total ankle replacement position: an analysis from the OARS cohort,"Samantha Bee Lian Low,Matthew Kim,Andoni P. Toms",Samantha Bee Lian Low,Andoni P. Toms
2021-Jul,Scientific Article,Gadolinium retention within multiple rat organs after intra-articular administration of gadolinium-based contrast agents,"Michael D. Ringler,Nicholas G. Rhodes,Jennifer S. Mc,Donald",Michael D. Ringler,Donald
2021-Jul,Scientific Article,Impact of different physical activity types on knee joint structural degeneration assessed with 3-T MRI in overweight and obese subjects: data from the osteoarthritis initiative,"S. SchiròS. C. Foreman,T. M. Link",S. SchiròS. C. Foreman,T. M. Link
2021-Jul,Scientific Article,An association between femoral trochlear morphology and non-contact anterior cruciate ligament total rupture: a retrospective MRI study,"Sefa Isıklar,Senem Turan Ozdemir,Gokhan Gokalp",Sefa Isıklar,Gokhan Gokalp
2021-Jul,Technical Report,Quantitative assessment of change in upper extremity muscle stiffness following fluid injection using shear wave elastography,"O. Kenechi Nwawka,Nicholas Gutierrez,Theodore T. Miller",O. Kenechi Nwawka,Theodore T. Miller
2021-Jul,Technical Report,A measuring technique for intra-osseous pressure,"Connie Y. Chang,Kaitlyn J. Yeh,Martin Torriani",Connie Y. Chang,Martin Torriani
2021-Jul,Test Yourself: Question,Painless wrist lump,"Rupert Berkeley,Daniel Lindsay,Asif Saifuddin",Rupert Berkeley,Asif Saifuddin
2021-Jul,Case Report,Localized plantar amyloidosis: case report and review of the literature,"Ravjot Dhatt,Frances Walstra,Paul Mallinson",Ravjot Dhatt,Paul Mallinson
2021-Jul,Case Report,Pediatric idiopathic intervertebral disc calcification (IIDC): a challenging case,"Sandrine Chilloh,Inès Mannes,Catherine Adamsbaum",Sandrine Chilloh,Catherine Adamsbaum
2021-Jul,Case Report,Beirut port explosion: unusual presentation of bilateral blast-related extensor mechanism rupture,"Manar Zaiter,Abir Ayoub,Mohamed Jarraya",Manar Zaiter,Mohamed Jarraya
2021-Jul,Test Yourself: Answer,Painless wrist lump,"Rupert Berkeley,Daniel Lindsay,Asif Saifuddin",Rupert Berkeley,Asif Saifuddin
2021-Jul,Browser's Notes,Browser’s Notes,,,
