Date,Article Class,Article Titles,List of Article Author Names,First Author,Last Author
2021-Sep,Review Article,Frequency of pertinent MRI abnormalities of the sacroiliac joints of patients without spondyloarthropathies: a systematic review of the literature,"Lara Barnsley,Joseph Paiva,Leslie Barnsley",Lara Barnsley,Leslie Barnsley
2021-Sep,Review Article,Musculoskeletal imaging manifestations of beta-thalassemia,"Maryam Hajimoradi,Sara Haseli,Majid Chalian",Maryam Hajimoradi,Majid Chalian
2021-Sep,Review Article,Musculoskeletal involvement of COVID-19: review of imaging,"Santhoshini Leela Ramani,Jonathan Samet,Swati Deshmukh",Santhoshini Leela Ramani,Swati Deshmukh
2021-Sep,Scientific Article,Measuring stem anteversion after total hip arthroplasty: posterior condylar tangent versus transepicondylar axis,"Francesco Castagnini,Federico Giardina,Francesco Traina",Francesco Castagnini,Francesco Traina
2021-Sep,Scientific Article,Osseous defect of the anteroinferior femoral head: is it associated with femoroacetabular impingement (FAI)?,"Franca K. Boldt,Benjamin Fritz,Christian W. A. Pfirrmann",Franca K. Boldt,Christian W. A. Pfirrmann
2021-Sep,Scientific Article,Ultrasound features of traumatic digital nerve injuries of the hand with surgical confirmation,"Yoshimi Endo,Thiru Sivakumaran,Duretti Fufa",Yoshimi Endo,Duretti Fufa
2021-Sep,Scientific Article,Clinicoradiographic predictors of percutaneous bone biopsy results among patients with suspected thoracolumbar spine infection,"My-Linh Nguyen,Bhargavi Guddanti,Adam D. Singer",My-Linh Nguyen,Adam D. Singer
2021-Sep,Scientific Article,Hanging protocol optimization of lumbar spine radiographs with machine learning,Gene Kitamura,Gene Kitamura,Gene Kitamura
2021-Sep,Scientific Article,A fully automated rib fracture detection system on chest CT images and its impact on radiologist performance,"Xiang Hong Meng,Di Jia Wu,Lei Chen",Xiang Hong Meng,Lei Chen
2021-Sep,Scientific Article,Predictive signs of peripheral rim instability with magnetic resonance imaging in no-shift-type complete discoid lateral meniscus,"Yusuke Hashimoto,Kazuya Nishino,Hiroaki Nakamura",Yusuke Hashimoto,Hiroaki Nakamura
2021-Sep,Scientific Article,Role of ultrasound-guided decompression in management of mucoid degeneration of the anterior cruciate ligament,"Ankita Ahuja,Chaitali Parekh,Aditya Daftary",Ankita Ahuja,Aditya Daftary
2021-Sep,Scientific Article,Association between Patellofemoral and medial Tibiofemoral compartment osteoarthritis progression: exploring the effect of body weight using longitudinal data from osteoarthritis initiative (OAI),"Farhad Pishgar,Ali Guermazi,Shadpour Demehri",Farhad Pishgar,Shadpour Demehri
2021-Sep,Scientific Article,Influence of TFCC foveal tear on the location of lunate chondromalacia in ulnar impaction syndrome,"Young Woo Kwon,In Cheul Choi,Jong Woong Park",Young Woo Kwon,Jong Woong Park
2021-Sep,Scientific Article,Long head biceps tendon instability: diagnostic performance of known and new MRI diagnostic signs,"Marcello Zappia,Francesco Ascione,Luca Brunese",Marcello Zappia,Luca Brunese
2021-Sep,Scientific Article,The smoke sign: a secondary sign of unsuspected acute pectoralis major tendon injury on routine shoulder MRI,"Catherine N. Petchprapa,Devin Vaswani,Jenny T. Bencardino",Catherine N. Petchprapa,Jenny T. Bencardino
2021-Sep,Scientific Article,Radiomics on radiography predicts giant cell tumor histologic response to denosumab,"Yu-Cherng Chang,Radka Stoyanova,Ty Subhawong",Yu-Cherng Chang,Ty Subhawong
2021-Sep,Scientific Article,Improving detection of Hill-Sachs fractures on radiographs,"Blake Riebe,Lada Micheas,Julia Crim",Blake Riebe,Julia Crim
2021-Sep,Test Yourself: Question,Slowly Enlarging Gluteal Mass,"Olivia J. Thomas,Krista A. Goulding,Jeremiah R. Long",Olivia J. Thomas,Jeremiah R. Long
2021-Sep,Case Report,Parosteal osteosarcoma with a manifestation of subperiosteal low-grade central osteosarcoma,"Shin Ishihara,Kenichi Kohashi,Yoshinao Oda",Shin Ishihara,Yoshinao Oda
2021-Sep,Case Report,Hydroxyapatite deposition disease of the wrist with intraosseous migration to the lunate bone,"Sophia S. Goller,Nina Hesse,Rainer Schmitt",Sophia S. Goller,Rainer Schmitt
2021-Sep,Test Yourself: Answer,Slowly enlarging gluteal mass,"Olivia J. Thomas,Krista A. Goulding,Jeremiah R. Long",Olivia J. Thomas,Jeremiah R. Long
2021-Sep,Browser's Notes,Browser's Notes,,,
