Date,Article Class,Article Titles,List of Article Author Names,First Author,Last Author
2021-Nov,Review Article,Multimodality imaging of the paediatric flatfoot,"Rupert Berkeley,Sally Tennant,Asif Saifuddin",Rupert Berkeley,Asif Saifuddin
2021-Nov,Review Article,Osteochondral lesions of the talar dome: an up-to-date approach to multimodality imaging and surgical techniques,"Júlio Brandão Guimarães,Isabela Azevedo Nicodemos da Cruz,Marcelo Astolfi Caetano Nico",Júlio Brandão Guimarães,Marcelo Astolfi Caetano Nico
2021-Nov,Review Article,Current concepts of spondylosis and posterior spinal motion preservation for radiologists,"Jack Porrino,Aditya Rao,Kimia Kani",Jack Porrino,Kimia Kani
2021-Nov,Scientific Article,Subchondral insufficiency fracture of the knee: unicompartmental correlation to meniscal pathology and degree of chondrosis by MRI,"Emad Allam,George Boychev,Felix M. Gonzalez",Emad Allam,Felix M. Gonzalez
2021-Nov,Scientific Article,The triangular fibrocartilage complex on high-resolution 3 T MRI in healthy adolescents: the thin line between asymptomatic findings and pathology,"Anne-Sophie van der Post,Sjoerd Jens,Mario Maas",Anne-Sophie van der Post,Mario Maas
2021-Nov,Scientific Article,Extensor mechanism tendinopathy in patients with lateral patellar maltracking,"Jehan F. Ghany,Sarah Kamel,Vishal Desai",Jehan F. Ghany,Vishal Desai
2021-Nov,Scientific Article,MRI after Whoops procedure: diagnostic value for residual sarcoma and predictive value for an incomplete second resection,"Mohammed H. A. AlramdanÖmer Kasalak,Thomas C. Kwee",Mohammed H. A. AlramdanÖmer Kasalak,Thomas C. Kwee
2021-Nov,Scientific Article,Quantitative MRI in patients with gluteal tendinopathy and asymptomatic volunteers: initial results on T1- and T2*-mapping diagnostic accuracy and correlation with clinical assessment,"Joseph Rudy Dadour,Guillaume Gilbert,Nathalie J. Bureau",Joseph Rudy Dadour,Nathalie J. Bureau
2021-Nov,Scientific Article,Reliability of supraspinatus intramuscular fatty infiltration estimates on T1-weighted MRI in potential candidates for rotator cuff repair surgery: full-thickness tear versus high-grade partial-thickness tear,"Derik L. Davis,Mohit N. Gilotra,S. Ashfaq Hasan",Derik L. Davis,S. Ashfaq Hasan
2021-Nov,Scientific Article,Diagnostic value of fluoroscopy-guided hip aspiration for periprosthetic joint infection,"Thanat Kanthawang,Jannis Bodden,Thomas M. Link",Thanat Kanthawang,Thomas M. Link
2021-Nov,Scientific Article,Ferumoxytol-enhanced vascular suppression in magnetic resonance neurography,"Sophie C. Queler,Ek Tsoon Tan,Darryl B. Sneag",Sophie C. Queler,Darryl B. Sneag
2021-Nov,Scientific Article,"Imaging features of gluteal in vitro fertilization injection granulomas, with delayed clinical presentation simulating soft tissue sarcoma","Lawrence M. White,Soumia I. Senouci,Jay S. Wunder",Lawrence M. White,Jay S. Wunder
2021-Nov,Scientific Article,Hip apophyseal injuries in soccer players: can MRI findings be useful to define when to return to play?,"Andre Fukunishi Yamada,Andrea Puchnick,Artur da Rocha Correa Fernandes",Andre Fukunishi Yamada,Artur da Rocha Correa Fernandes
2021-Nov,Technical Report,Novel fluorescent staining protocol for thick sections of human osteochondral tissues to facilitate correlation with MRI and CT,"Qingbo Tang,Alecio F. Lombardi,Eric Y. Chang",Qingbo Tang,Eric Y. Chang
2021-Nov,Test Yourself: Question,"A 38-year-old man presenting with a >1-month history of increased sensitivity to touch in the right index finger, thumb and middle finger with a positive Tinel’s sign over the median nerve","Georgiana Zamfir,Halimah Chattun,Asif Saifuddin",Georgiana Zamfir,Asif Saifuddin
2021-Nov,Case Report,Subacromial-subdeltoid bursitis following COVID-19 vaccination: a case of shoulder injury related to vaccine administration (SIRVA),"Tatiane Cantarelli Rodrigues,Pedro Filgueiras Hidalgo,Aline Serfaty",Tatiane Cantarelli Rodrigues,Aline Serfaty
2021-Nov,Case Report,"A case of a large solitary fibrous tumor in the thigh, displaying NAB2ex4-STAT6ex2 gene fusion","Bharat Rekhi,Prachi Bapat,Prakash Nayak",Bharat Rekhi,Prakash Nayak
2021-Nov,Test Yourself: Answer,"A 38-year-old man presenting with a >1-month history of increased sensitivity to touch in the right index finger, thumb and middle finger with a positive Tinel’s sign over the median nerve","Georgiana Zamfir,Halimah Chattun,Asif Saifuddin",Georgiana Zamfir,Asif Saifuddin
2021-Nov,Letter to the Editor,Reply to: Intraosseous lipomas originating from simple bone cysts,"Bernhard J. Tins,Yaron J. Berkowitz,Paul Cool",Bernhard J. Tins,Paul Cool
2021-Nov,Correction,Correction to: Dual-energy CT collagen density mapping of wrist ligaments reveals tissue remodeling in CPPD patients: first results from a clinical cohort,"Katharina Ziegeler,Sophia-Theresa Richter,Torsten Diekhoff",Katharina Ziegeler,Torsten Diekhoff
2021-Nov,Browser’s notes,Browser’s notes,,,
