Date,Article Class,Article Titles,List of Article Author Names,First Author,Last Author
2021-Feb,Review Article,An OrthoRadiological review of superior capsularreconstruction in the shoulder,"Zeid Al-Ani,Puneet Monga,Subhasis Basu",Zeid Al-Ani,Subhasis Basu
2021-Feb,Review Article,Review article: the current status of CT-guided needle biopsy of the spine,"Asif Saifuddin,Valentina Palloni,Syed Ehtasham Junaid",Asif Saifuddin,Syed Ehtasham Junaid
2021-Feb,Scientific Article,The value of chest and skeletal staging in parosteal osteosarcoma: two-centre experience and literature review,"R. Rajakulasingam,V. Attard,A. Saifuddin",R. Rajakulasingam,A. Saifuddin
2021-Feb,Scientific Article,The “Balgrist Score” for evaluation of Charcot foot: a predictive value for duration of off-loading treatment,"Martin C. Berli,Kai Higashigaito,Andrea B. Rosskopf",Martin C. Berli,Andrea B. Rosskopf
2021-Feb,Scientific Article,"Routine knee MRI: how common are peripheral nerve abnormalities, and why does it matter?","Danoob Dalili,Amanda Isaac,Shivani Ahlawat",Danoob Dalili,Shivani Ahlawat
2021-Feb,Scientific Article,Mesenchymal chondrosarcoma: imaging features and clinical findings,"Soleen Ghafoor,Meera R. Hameed,Sinchun Hwang",Soleen Ghafoor,Sinchun Hwang
2021-Feb,Scientific Article,Complications in image-guided musculoskeletal injections,"John P. Hynes,Meadhbh Ni Fhlatharta,Eoin C. Kavanagh",John P. Hynes,Eoin C. Kavanagh
2021-Feb,Scientific Article,"Quantifying in vivo scaphoid, lunate, and capitate kinematics using four-dimensional computed tomography","Michelle Brinkhorst,Mahyar Foumani,Geert Streekstra",Michelle Brinkhorst,Geert Streekstra
2021-Feb,Scientific Article,Improving the quantitative classification of Erlenmeyer flask deformities,"Gautam Adusumilli,Joshua D. Kaggie,The GAUCHERITE Consortium",Gautam Adusumilli,The GAUCHERITE Consortium
2021-Feb,Scientific Article,Use of routine computed tomography scans for detecting osteoporosis in thoracolumbar vertebral bodies,"Ping Wang,Wei She,Gang Huang",Ping Wang,Gang Huang
2021-Feb,Scientific Article,"Comparison of 2D, 3D, and radially reformatted MR images in the detection of labral tears and acetabular cartilage injury in young patients","Stephanie Watson Mayer,Anne Skelton,Michael Fadell",Stephanie Watson Mayer,Michael Fadell
2021-Feb,Scientific Article,Developmental dysplasia of the hip: can contrast-enhanced MRI predict the development of avascular necrosis following surgery?,"Jie C. Nguyen,Susan J. Back,Wudbhav N. Sankar",Jie C. Nguyen,Wudbhav N. Sankar
2021-Feb,Scientific Article,Reliability of three radiographic classification systems for knee osteoarthritis among observers of different experience levels,"Nicholas Wing,Natasha Van Zyl,Chris Wall",Nicholas Wing,Chris Wall
2021-Feb,Scientific Article,The importance of MRI review following the diagnosis of atypical cartilaginous tumour using image-guided needle biopsy,"Asif Saifuddin,Ines Oliveira,Paul O’Donnell",Asif Saifuddin,Paul O’Donnell
2021-Feb,Scientific Article,Dual-energy CT collagen density mapping of wrist ligaments reveals tissue remodeling in CPPD patients: first results from a clinical cohort,"Katharina Ziegeler,Sophia-Theresa Richter,Torsten Diekhoff",Katharina Ziegeler,Torsten Diekhoff
2021-Feb,Technical Report,Role of ultrasound-guided perineural injection of the posterior antebrachial cutaneous nerve for diagnosis and potential treatment of chronic lateral elbow pain,"Sagar Wagle,Katrina Glazebrook,Mark Morrey",Sagar Wagle,Mark Morrey
2021-Feb,Test Yourself: Question,Painful left forearm swelling,"Julio Brandão Guimaraes,Renato Masson,Henrique Lederman",Julio Brandão Guimaraes,Henrique Lederman
2021-Feb,Case Report,Rupture of the peroneus quartus tendon in a professional rugby player,"Gajan Rajeswaran,Ali James,Adam W. M. Mitchell",Gajan Rajeswaran,Adam W. M. Mitchell
2021-Feb,Case Report,Amyloidoma: a review and case report,"Sohil S. Desai,Michael G. Rizzo,Motasem Al Maaieh",Sohil S. Desai,Motasem Al Maaieh
2021-Feb,Case Report,EWSR1-SMAD3 fibroblastic tumour of bone: expanding the clinical spectrum,"Solange De Noon,Adrienne M Flanagan,Fernanda Amary",Solange De Noon,Fernanda Amary
2021-Feb,Case Report,Tenosynovial giant cell tumor of the upper cervical spine arising from the posterior atlanto-occipital membrane: a case report,"Yun Ji Kim,Ji Hyun Hong,Seong Jin Cho",Yun Ji Kim,Seong Jin Cho
2021-Feb,Test Yourself: Answer,Painful left forearm swelling,"Julio Brandão Guimaraes,Renato Masson,Henrique Lederman",Julio Brandão Guimaraes,Henrique Lederman
2021-Feb,Correction,Correction to: Painful left forearm swelling,"Julio Brandão Guimaraes,Renato Masson,Henrique Lederman",Julio Brandão Guimaraes,Henrique Lederman
2021-Feb,Letter to the Editor,"In silico diagnosis for sarcopenia is not possible without anthropometric, strength, and performance assessments","Timur Ekiz,Ayşe Merve Ata,Levent Özçakar",Timur Ekiz,Levent Özçakar
2021-Feb,Letter to the Editor,"Reply to: In silico diagnosis for sarcopenia is not possible without anthropometric, strength, and performance assessments","Stefania Zannoni,Domenico Albano,Luca Maria Sconfienza",Stefania Zannoni,Luca Maria Sconfienza
2021-Feb,Correction,"Correction to: A comprehensive review of the normal, abnormal, and post-operative MRI appearance of the proximal biceps brachii","Jeffrey Rosenthal,My-Linh Nguyen,Adam D. Singer",Jeffrey Rosenthal,Adam D. Singer
