Date,Article Class,Article Titles,List of Article Author Names,First Author,Last Author
2021-Mar,Review Article,Imaging-based patient-reported outcomes (PROs) database: How we do it,"Soterios Gyftopoulos,Adam Jacobs,Mohammad Samim",Soterios Gyftopoulos,Mohammad Samim
2021-Mar,Review Article,Ultrasound-guided microwave ablation in the treatment of inguinal neuralgia,"Steven P. Daniels,Helen S. Xu,Kenneth S. Lee",Steven P. Daniels,Kenneth S. Lee
2021-Mar,Scientific Article,Sonographic and radiographic evaluation of the extensor tendons in early postoperative period after total knee arthroplasty,"Viviane Creteur,Riccardo De Angelis,Afarine MADANI",Viviane Creteur,Afarine MADANI
2021-Mar,Scientific Article,Percutaneous image-guided sternal biopsy: a cross-institutional retrospective review of diagnostic yield and safety in 50 cases,"Ningcheng (Peter) Li,Molly A. Wingfield,Barry G. Hansford",Ningcheng (Peter) Li,Barry G. Hansford
2021-Mar,Scientific Article,Ulnar collateral ligament injuries of the first metacarpophalangeal joint: prevalence of associated injuries on radiographs and MRI,"Sebastian Manneck,Filippo Del Grande,Anna Hirschmann",Sebastian Manneck,Anna Hirschmann
2021-Mar,Scientific Article,Do non-weight-bearing knee radiographs for chronic knee pain result in increased follow-up imaging?,"Elizabeth S. Levin,Jacob C. Mandell,Stacy E. Smith",Elizabeth S. Levin,Stacy E. Smith
2021-Mar,Scientific Article,Imaging features and clinical course of undifferentiated round cell sarcomas with CIC-DUX4 and BCOR-CCNB3 translocations,"Emily J. Brady,Meera Hameed,Sinchun Hwang",Emily J. Brady,Sinchun Hwang
2021-Mar,Scientific Article,Differentiating rheumatoid and psoriatic arthritis: a systematic analysis of high-resolution magnetic resonance imaging features—preliminary findings,"Daniel B. Abrar,Christoph Schleich,Philipp Sewerin",Daniel B. Abrar,Philipp Sewerin
2021-Mar,Scientific Article,"Diagnosing sarcopenia at the point of imaging care: analysis of clinical, functional, and opportunistic CT metrics","Lawrence Yao,Anahit Petrosyan,Robert D. Boutin",Lawrence Yao,Robert D. Boutin
2021-Mar,Scientific Article,"Meniscal ramp lesions: frequency, natural history, and the effect on knee cartilage over 2 years in subjects with anterior cruciate ligament tears","Julio Brandao Guimaraes,Benedikt J. Schwaiger,Thomas M. Link",Julio Brandao Guimaraes,Thomas M. Link
2021-Mar,Scientific Article,MRI of the ulnar nerve pre- and post-transposition: imaging features and rater agreement,"Thiru Sivakumaran,Darryl B. Sneag,Yoshimi Endo",Thiru Sivakumaran,Yoshimi Endo
2021-Mar,Scientific Article,The deep medial femoral sulcus sign: does it exist?,"Robert D. Wissman,Derek Stensby,Mojgan Golzy",Robert D. Wissman,Mojgan Golzy
2021-Mar,Scientific Article,The pediatric accessory sacroiliac joint: does it exist?,"Allison Rixey,Naveen Murthy,Gavin Mc,Kenzie",Allison Rixey,Kenzie
2021-Mar,Scientific Article,Qualitative evaluation of MRI features in aneurysmal bone cysts after percutaneous sclerotherapy,"Eric S. Bih,Kimberly Dao,Raja Shaikh",Eric S. Bih,Raja Shaikh
2021-Mar,Test Yourself: Question,Test yourself: question—a 62-year-old lady with painful swelling of right hand index finger for the last 8 weeks,"Sajid Butt,Roberto Tirabosco,Asif Saifuddin",Sajid Butt,Asif Saifuddin
2021-Mar,Test Yourself: Question,Bilateral round lucent iliac defects,"Hieu Diep,Christopher Wasyliw,Laura Bancroft",Hieu Diep,Laura Bancroft
2021-Mar,Case Report,Subperiosteal chondromyxoid fibroma: a rare case involving the humeral diaphysis,"Jean-Philippe Delorme,Bibianna Purgina,Zaid Jibri",Jean-Philippe Delorme,Zaid Jibri
2021-Mar,Case Report,Acral FibroChondroMyxoid tumor: imaging features of a new entity,"Thomas Le Corroller,Nicolas Macagno,Corinne Bouvier",Thomas Le Corroller,Corinne Bouvier
2021-Mar,Test Yourself: Answer,Question: A 62-year-old lady with painful swelling of right hand index finger for the last 8 weeks,"Sajid Butt,Roberto Tirabosco,Asif Saifuddin",Sajid Butt,Asif Saifuddin
2021-Mar,Test Yourself: Answer,Bilateral round lucent iliac defects,"Hieu Diep,Christopher Wasyliw,Laura Bancroft",Hieu Diep,Laura Bancroft
2021-Mar,Browser notes,Browser notes,,,
