Date,Article Class,Article Titles,List of Article Author Names,First Author,Last Author
2020-Apr,Review Article,Critical shoulder angle: what do radiologists need to know?,"Amélie Loriaud,Sylvain Bise,Lionel Pesquer",Amélie Loriaud,Lionel Pesquer
2020-Apr,Review Article,Pediatric ankle injuries: utilizing the Dias-Tachdjian classification,"Christy B. Pomeranz,Roger J. Bartolotta",Christy B. Pomeranz,Roger J. Bartolotta
2020-Apr,Scientific Article,Ultra-low-dose CT for extremities in an acute setting: initial experience with 203 subjects,"Zlatan Alagic,Robert Bujila,Seppo K. Koskinen",Zlatan Alagic,Seppo K. Koskinen
2020-Apr,Scientific Article,"Advanced MR imaging of bone marrow: quantification of signal alterations on T1-weighted Dixon and T2-weighted Dixon sequences in red marrow, yellow marrow, and pathologic marrow lesions","Chayanit Sasiponganan,Kevin Yan,Avneesh Chhabra",Chayanit Sasiponganan,Avneesh Chhabra
2020-Apr,Scientific Article,Organ dose and total effective dose of whole-body CT in multiple myeloma patients,"Robert Hemke,Kai Yang,F. Joseph Simeone",Robert Hemke,F. Joseph Simeone
2020-Apr,Scientific Article,Value of response to anesthetic injection during hip MR arthrography to differentiate between intra- and extra-articular pathology,"Arvin B. Kheterpal,Katherine M. Bunnell,Miriam A. Bredella",Arvin B. Kheterpal,Miriam A. Bredella
2020-Apr,Scientific Article,Correlating clinical assessment and MRI findings in diagnosing calf injuries in elite male Australian rules footballers,"James H. Brennan,Christopher Bell,Andrew H. Rotstein",James H. Brennan,Andrew H. Rotstein
2020-Apr,Scientific Article,Lumbar facet joint subchondral bone density in low back pain and asymptomatic subjects,"Chien-Chou Pan,Peter Simon,Nozomu Inoue",Chien-Chou Pan,Nozomu Inoue
2020-Apr,Scientific Article,With or without? A retrospective analysis of intravenous contrast utility in magnetic resonance neurography,"Alan D. Harrell,Daniel Johnson,Swati Deshmukh",Alan D. Harrell,Swati Deshmukh
2020-Apr,Scientific Article,Ultrasound-guided versus palpation-guided corticosteroid injections for tendinosis of the long head of the biceps: A randomized comparative study,"Christos K. Yiannakopoulos,Panayiotis D. Megaloikonomos,John Gliatis",Christos K. Yiannakopoulos,John Gliatis
2020-Apr,Scientific Article,"Osteochondral lesions of the lateral trochlear ridge: a rare, subtle but important finding on advanced imaging in patients with elbow pain","Mark S. Collins,Christin A. Tiegs-Heiden",Mark S. Collins,Christin A. Tiegs-Heiden
2020-Apr,Scientific Article,Reporting Discrepancy Resolved by Findings and Time in 2947 Emergency Department Ankle X-rays,"Thomas James York,P. J. Jenkins,A. J. Ireland",Thomas James York,A. J. Ireland
2020-Apr,Scientific Article,The exploration of feature extraction and machine learning for predicting bone density from simple spine X-ray images in a Korean population,"Sangwoo Lee,Eun Kyung Choe,Hua Sun Kim",Sangwoo Lee,Hua Sun Kim
2020-Apr,Scientific Article,CT-guided discitis-osteomyelitis biopsies with negative microbiology: how many days should we wait before repeating the biopsy?,"Kaitlyn J. Yeh,Jad S. Husseini,Connie Y. Chang",Kaitlyn J. Yeh,Connie Y. Chang
2020-Apr,Scientific Article,A comparison of saline and gadolinium shoulder MR arthrography to arthroscopy,"Adam D. Singer,Jeffrey Rosenthal,Eric Wagner",Adam D. Singer,Eric Wagner
2020-Apr,Technical Report,Brown adipose tissue and cancer progression,"Katrina Chu,Stijn A. Bos,Miriam A. Bredella",Katrina Chu,Miriam A. Bredella
2020-Apr,Test Yourself: Question,Multiple bilateral forearm nodules,"Robert W. Morris,Youssef Al Hmada,Chris D. Reed",Robert W. Morris,Chris D. Reed
2020-Apr,Case Report,Intraligamentous synovial chondromatosis of the anterior cruciate ligament,"Aria Ashir,Wei-Xian Li,Eric Y. Chang",Aria Ashir,Eric Y. Chang
2020-Apr,Case Report,Bone oxaloma—a localized manifestation of bone oxalosis,"Eun Ji Choi,Choong Guen Chee,Hye Won Chung",Eun Ji Choi,Hye Won Chung
2020-Apr,Test Yourself: Answer,Multiple bilateral forearm nodules,"Robert W. Morris,Youssef Al Hmada,Chris D. Reed",Robert W. Morris,Chris D. Reed
2020-Apr,Browser's Notes,A case series of successful repair of articular cartilage fragments in the knee,,,
