Date,Article Class,Article Titles,List of Article Author Names,First Author,Last Author
2020-Sep,Review Article,"A comprehensive review of the normal, abnormal, and post-operative MRI appearance of the proximal biceps brachii","Jeffrey Rosenthal,My-Linh Nguyen,Adam D. Singer",Jeffrey Rosenthal,Adam D. Singer
2020-Sep,Review Article,Radiological findings of denosumab treatment for giant cell tumours of bone,"Kirsten van Langevelde,Catherine L. Mc,Carthy",Kirsten van Langevelde,Carthy
2020-Sep,Scientific Article,Association of blood pressure with knee cartilage composition and structural knee abnormalities: data from the osteoarthritis initiative,"Walid Ashmeik,Gabby B. Joseph,Thomas M. Link",Walid Ashmeik,Thomas M. Link
2020-Sep,Scientific Article,Detection of hip osteoarthritis by using plain pelvic radiographs with deep learning methods,"Kemal Üreten,Tayfun Arslan,Yasemin Bilgili",Kemal Üreten,Yasemin Bilgili
2020-Sep,Scientific Article,"The differentiation between aneurysmal bone cyst and telangiectatic osteosarcoma: a clinical, radiographic and MRI study","Umme Sara Zishan,Ian Pressney,Asif Saifuddin",Umme Sara Zishan,Asif Saifuddin
2020-Sep,Scientific Article,The value of prebiopsy FDG-PET/CT in discriminating malignant from benign vertebral bone lesions in a predominantly oncologic population,"Naila Loudini,Andor W. J. M. Glaudemans,Thomas C. Kwee",Naila Loudini,Thomas C. Kwee
2020-Sep,Scientific Article,Zone- and layer-specific differences in proteoglycan content in patellofemoral pain syndrome are detectable on T1ρ MRI,"Nicole Zelenski,David P Falk,Miltiadis Zgonis",Nicole Zelenski,Miltiadis Zgonis
2020-Sep,Scientific Article,Percutaneous thermal ablation for treatment of osteoid osteoma: a systematic review and analysis,"Will S. Lindquester,John Crowley,C. Matthew Hawkins",Will S. Lindquester,C. Matthew Hawkins
2020-Sep,Scientific Article,The radiological diagnosis of extra-articular posteromedial talocalcaneal coalition,"Ngwe Phyo,Ian Pressney,Asif Saifuddin",Ngwe Phyo,Asif Saifuddin
2020-Sep,Scientific Article,Reliability of EOS compared to conventional radiographs for evaluation of lower extremity deformity in adult patients,"Kelsey L. Wise,Brandon J. Kelly,Jeffrey A. Macalena",Kelsey L. Wise,Jeffrey A. Macalena
2020-Sep,Scientific Article,CT-guided discitis-osteomyelitis biopsies: needle gauge and microbiology results,"Jad S. Husseini,F. Joseph Simeone,Connie Y. Chang",Jad S. Husseini,Connie Y. Chang
2020-Sep,Scientific Article,Non-weightbearing compared with weightbearing x-rays in hallux valgus decision-making,"Andrzej Boszczyk,Sławomir Kwapisz,Henryk Liszka",Andrzej Boszczyk,Henryk Liszka
2020-Sep,Scientific Article,Modernization of bone age assessment: comparing the accuracy and reliability of an artificial intelligence algorithm and shorthand bone age to Greulich and Pyle,"Mina Gerges,Hayley Eng,Anthony Cooper",Mina Gerges,Anthony Cooper
2020-Sep,Scientific Article,Percutaneous vertebral augmentation using drill rotation for osteoporotic vertebral compression fractures with intravertebral vacuum cleft,"Min Li,Yue Zhang,Gang Sun",Min Li,Gang Sun
2020-Sep,Technical Report,Percutaneous cryoablation of osteoblastoma in the proximal femur,"F Poullain,JC Mattei,T Le Corroller",F Poullain,T Le Corroller
2020-Sep,Test Yourself: Question,Test yourself: a 49-year-old lady with a history of chronic left hip pain following a fall twenty months earlier,"Muhammad Dharas,Petra Balogh,Asif Saifuddin",Muhammad Dharas,Asif Saifuddin
2020-Sep,Case Report,Post-surgical Achilles calcific tendinopathy treated with ultrasound-guided percutaneous irrigation,"Domenico Albano,Ilaria Vicentin,Luca Maria Sconfienza",Domenico Albano,Luca Maria Sconfienza
2020-Sep,Case Report,Iatrogenic humeral anatomic neck fracture after intraosseous vascular access,"Alix C. Hopp,Jeremiah R. Long,Jonathan A. Flug",Alix C. Hopp,Jonathan A. Flug
2020-Sep,Case Report,Extensive multifocal emphysematous osteomyelitis: fatal outcome in a patient with psychiatric history,"Alessandra J. Sax,William B. Morrison,Jeffrey A. Belair",Alessandra J. Sax,Jeffrey A. Belair
2020-Sep,Test Yourself: Answer,Test yourself: a 49-year-old lady with a history of chronic left hip pain following a fall twenty months earlier,"Muhammad Dharas,Petra Balogh,Asif Saifuddin",Muhammad Dharas,Asif Saifuddin
2020-Sep,Browser's Notes,Browser’s notes,,,
