Date,Article Class,Article Titles,List of Article Author Names,First Author,Last Author
2020-Dec,Review Article,Hallux sesamoid complex imaging: a practical diagnostic approach,"Charles Lombard,Romain Gillet,Pedro Gondim Teixeira",Charles Lombard,Pedro Gondim Teixeira
2020-Dec,Review Article,Microinstability of the hip: a systematic review of the imaging findings,"Rebecca M Woodward,Renuka M Vesey,Donna G Blankenbaker",Rebecca M Woodward,Donna G Blankenbaker
2020-Dec,Perspective,Placebo effects in musculoskeletal radiology procedures,"Charles J. Sullivan,Stephen J. Eustace,Eoin C. Kavanagh",Charles J. Sullivan,Eoin C. Kavanagh
2020-Dec,Scientific Article,"Langerhans cell histiocytosis of the shoulder girdle, pelvis and extremities: a review of radiographic and MRI features in 85 cases","J Singh,R Rajakulasingam,A Saifuddin",J Singh,A Saifuddin
2020-Dec,Scientific Article,Experiences with image quality and radiation dose of cone beam computed tomography (CBCT) and multidetector computed tomography (MDCT) in pediatric extremity trauma,"Sebastian Tschauner,Robert Marterer,Erich Sorantin",Sebastian Tschauner,Erich Sorantin
2020-Dec,Scientific Article,How well do we represent ourselves: an analysis of musculoskeletal radiology fellowships website content in Canada and the USA,"Sami Adham,Muhammad Umer Nasir,Faisal Khosa",Sami Adham,Faisal Khosa
2020-Dec,Scientific Article,MRI appearance of jogger’s foot,"Mark S. Collins,Christin A. Tiegs-Heiden,Matthew A. Frick",Mark S. Collins,Matthew A. Frick
2020-Dec,Scientific Article,Comparison of 3D X-ray tomography with computed tomography in patients with distal extremity fractures,"Anna L. Falkowski,Balazs K. Kovacs,Anna Hirschmann",Anna L. Falkowski,Anna Hirschmann
2020-Dec,Scientific Article,"Painful type II os naviculare: introduction of a standardized, reproducible classification system","Sarah I. Kamel,Jeffrey A. Belair,Adam C. Zoga",Sarah I. Kamel,Adam C. Zoga
2020-Dec,Scientific Article,Using a simplified version of a common surgical grading scale for acetabular labral tears improves the utility of preoperative hip MRI for femoroacetabular impingement,"Patrick Morgan,Amanda Crawford,Jutta M. Ellermann",Patrick Morgan,Jutta M. Ellermann
2020-Dec,Scientific Article,Radiofrequency ablation vs microwave ablation for osteoid osteomas: long-term results,"Joseph Reis,Young Chang,Ashwani K. Sharma",Joseph Reis,Ashwani K. Sharma
2020-Dec,Scientific Article,Impact of stem design and cementation on postoperative femoral antetorsion in 227 patients with total hip arthroplasty (THA),"Tim Fischer,Christoph Stern,Reto Sutter",Tim Fischer,Reto Sutter
2020-Dec,Scientific Article,Age-dependent changes in pediatric scaphoid fracture pattern on radiographs,"Jie C. Nguyen,Michael K. Nguyen,Benjamin Chang",Jie C. Nguyen,Benjamin Chang
2020-Dec,Scientific Article,MR imaging pattern of tibial subchondral bone structure: considerations of meniscal coverage and integrity,"Aticha Ariyachaipanich,Emel Kaya,Christine B. Chung",Aticha Ariyachaipanich,Christine B. Chung
2020-Dec,Scientific Article,Hemangioma of long tubular bone: imaging characteristics with emphasis on magnetic resonance imaging,"Qin Zhou,Liangji Lu,Guixun Hong",Qin Zhou,Guixun Hong
2020-Dec,Scientific Article,The accuracy of a novel sonographic scanning and reporting protocol to survey for soft tissue sarcoma local recurrence,"Adam Daniel Singer,Phil Wong,Kenneth Cardona",Adam Daniel Singer,Kenneth Cardona
2020-Dec,Technical Report,MR spectroscopy differences between lipomatosis of nerve and neuromuscular choristoma: a potential adjunctive diagnostic tool,"T. Marek,K. K. Amrami,J. D. Port",T. Marek,J. D. Port
2020-Dec,Test Yourself: Question,5-year-old girl with bilateral lower leg pain,"C. Kloth,T. Wowra,S. A. Schmidt",C. Kloth,S. A. Schmidt
2020-Dec,Test Yourself: Question,Test yourself: right knee pain after fall,"Jau-Ann Tsai,Kush Shah,A. Ross Sussman",Jau-Ann Tsai,A. Ross Sussman
2020-Dec,Case Report,Giant intraosseous ganglion of the fibula: multimodality imaging,"Najoi Chatt,Aline François,Thomas Kirchgesner",Najoi Chatt,Thomas Kirchgesner
2020-Dec,Case Report,An uncommon lymphoma mimic: lipogranulomas,"John Karp,Prem Ruben Jayaram,Paul Ian Mallinson",John Karp,Paul Ian Mallinson
2020-Dec,Case Report,Spinal extradural arteriovenous fistula after lumbar epidural injection: CT angiographic diagnosis using 3D-volume rendering,"A Yeon Kim,Eun Kyung Khil,Jung-Ah Choi",A Yeon Kim,Jung-Ah Choi
2020-Dec,Case Report,Two-point Dixon fat-water swapping artifact: lesion mimicker at musculoskeletal T2-weighted MRI,"Thomas Kirchgesner,Souad Acid,Bruno Vande Berg",Thomas Kirchgesner,Bruno Vande Berg
2020-Dec,Case Report,Diffuse skeletal muscle extramedullary plasmacytomas: a rare case and review of the literature,"Robert D. Moore,Steve M. Nelson,Nathan D. Cecava",Robert D. Moore,Nathan D. Cecava
2020-Dec,Case Report,Acrophyseal growth arrest in a long-term survivor of acute lymphoblastic leukemia,"Jacky de Rooy,Stan Buckens,Filip Vanhoenacker",Jacky de Rooy,Filip Vanhoenacker
2020-Dec,Test Yourself: Answer,Five-year-old girl with bilateral lower leg pain,"C. Kloth,T. Wowra,S. A. Schmidt",C. Kloth,S. A. Schmidt
2020-Dec,Test Yourself: Answer,Test yourself: right knee pain after fall,"Jau-Ann Tsai,Kush Shah,A. Ross Sussman",Jau-Ann Tsai,A. Ross Sussman
2020-Dec,Letter to the Editor,Response to letter to editor,"R. Rajakulasingam,A. Saifuddin",R. Rajakulasingam,A. Saifuddin
2020-Dec,Announcement,2019 Award Winning Papers,,,
2020-Dec,Browser's Notes,Browser’s Notes,,,
